,Name,Link
92,Archived,https://web.archive.org/web/20230124173734/https://www.oscars.org/oscars/ceremonies/2023
93,"""The Academy to Honor Michael J. Fox, Euzhan Palcy, Diane Warren, and Peter Weir with Oscars® at Governors Awards in November""",https://www.oscars.org/news/academy-honor-michael-j-fox-euzhan-palcy-diane-warren-and-peter-weir-oscarsr-governors-awards
94,Archived,https://web.archive.org/web/20221112015248/https://www.oscars.org/news/academy-honor-michael-j-fox-euzhan-palcy-diane-warren-and-peter-weir-oscarsr-governors-awards
95,"""Oscars 2023 Presenters include Michael B. Jordan, Janelle Monáe, and More""",https://www.vanityfair.com/hollywood/2023/03/awards-insider-oscars-presenters-2023
96,Archived,https://web.archive.org/web/20230305215731/https://www.vanityfair.com/hollywood/2023/03/awards-insider-oscars-presenters-2023
97,"""Oscar Presenters: Andrew Garfield, Danai Gurira, Nicole Kidman, Antonio Banderas, John Cho & Others Added – The List So Far""",https://deadline.com/2023/03/oscar-presenters-2023-list-1235281604/
98,Archived,https://web.archive.org/web/20230307195154/https://deadline.com/2023/03/oscar-presenters-2023-list-1235281604/
99,"""Pedro Pascal, Kate Hudson, Harrison Ford added to List of 2023 Oscars Presenters""",https://www.hollywoodreporter.com/movies/movie-news/pedro-pascal-kate-hudson-harrison-ford-2023-oscars-presenters-1235346872/
100,Archived,https://web.archive.org/web/20230309202452/https://www.hollywoodreporter.com/movies/movie-news/pedro-pascal-kate-hudson-harrison-ford-2023-oscars-presenters-1235346872/
101,"""Oscars 2023: Sylvia Villagran named ceremony announcer""",https://www.thegoldknight.com/2023/03/oscars-2023-sylvia-villagran-named.html
102,Archived,https://web.archive.org/web/20230310022134/https://www.thegoldknight.com/2023/03/oscars-2023-sylvia-villagran-named.html
103,"""Deadline's Oscar Live Blog""",https://deadline.com/2023/03/2023-oscars-live-updates-1235288940/
104,Archived,https://web.archive.org/web/20230313144642/https://deadline.com/2023/03/2023-oscars-live-updates-1235288940/
105,"""Surprise! Lady Gaga is Performing 'Hold My Hand' at the Oscars After All (EXCLUSIVE)""",https://variety.com/2023/awards/news/lady-gaga-performing-oscars-hold-my-hand-1235550918/
106,Archived,https://web.archive.org/web/20230312180501/https://variety.com/2023/awards/news/lady-gaga-performing-oscars-hold-my-hand-1235550918/
107,"""Watch Lady Gaga Strip Down 'Hold My Hand' in an Intimate Oscars Performance Dedicated to Tony Scott""",https://variety.com/2023/awards/news/lady-gaga-hold-my-hand-2023-oscars-performance-1235551128/
108,Archived,https://web.archive.org/web/20230313190422/https://variety.com/2023/awards/news/lady-gaga-hold-my-hand-2023-oscars-performance-1235551128/
109,"""An unruly 'Cocaine Bear' helped Elizabeth Banks present award for Best Visual Effects at Oscars 2023""",https://www.syfy.com/syfy-wire/cocaine-bear-and-elizabeth-banks-present-visual-effects-oscar
110,Archived,https://web.archive.org/web/20230327000725/https://www.syfy.com/syfy-wire/cocaine-bear-and-elizabeth-banks-present-visual-effects-oscar
111,"""Oscars: David Byrne, Stephanie Hsu & Son Lux to Perform ""This Is A Life"" During Ceremony""",https://deadline.com/2023/02/oscars-david-byrne-stephanie-hsu-son-lux-perform-this-is-a-life-everything-everywhere-all-at-once-ceremony-1235273011/
112,Archived,https://web.archive.org/web/20230305191929/https://deadline.com/2023/02/oscars-david-byrne-stephanie-hsu-son-lux-perform-this-is-a-life-everything-everywhere-all-at-once-ceremony-1235273011/
113,"""Lenny Kravitz to sing at Oscars, presumably in reinforced pants""",https://www.avclub.com/lenny-kravitz-to-perform-oscars-2023-in-memoriam-1850193512
114,Archived,https://web.archive.org/web/20230307042727/https://www.avclub.com/lenny-kravitz-to-perform-oscars-2023-in-memoriam-1850193512
115,"""Oscars Production Team Set: Rickey Minor Returns as Music Director; 28-Year Telecast Veteran Rob Paine Named Co-EP""",https://deadline.com/2023/02/oscars-production-team-95th-academy-awards-1235254734/
116,Archived,https://web.archive.org/web/20230209224429/https://deadline.com/2023/02/oscars-production-team-95th-academy-awards-1235254734/
117,"""Indian Singers to Perform 'Naatu Naatu' on 2023 Oscars""",https://www.billboard.com/music/awards/naatu-naatu-rrr-2023-oscars-performance-announcement-1235276574/
118,Archived,https://web.archive.org/web/20230305205722/https://www.billboard.com/music/awards/naatu-naatu-rrr-2023-oscars-performance-announcement-1235276574/
119,"""RRR star Jr NTR leaves for USA ahead of Oscars 2023""",https://www.indiatoday.in/movies/regional-cinema/story/rrr-star-jr-ntr-leaves-for-usa-ahead-of-oscars-2023-2343078-2023-03-06
120,Archived,https://web.archive.org/web/20230307042957/https://www.indiatoday.in/movies/regional-cinema/story/rrr-star-jr-ntr-leaves-for-usa-ahead-of-oscars-2023-2343078-2023-03-06
121,,https://www.hindustantimes.com/entertainment/telugu-cinema/jr-ntr-says-ram-charan-and-he-will-not-dance-to-naatu-naatu-on-stage-at-oscars-2023-101678436940129.html
122,Archived,https://web.archive.org/web/20230313045058/https://www.hindustantimes.com/entertainment/telugu-cinema/jr-ntr-says-ram-charan-and-he-will-not-dance-to-naatu-naatu-on-stage-at-oscars-2023-101678436940129.html
123,,https://www.thewrap.com/lady-gaga-oscars-not-performing/
124,Archived,https://web.archive.org/web/20230310022410/https://www.thewrap.com/lady-gaga-oscars-not-performing/
125,"""The Little Mermaid Official Trailer to Premiere During The Oscars""",https://www.broadwayworld.com/article/THE-LITTLE-MERMAID-Official-Trailer-to-Premiere-During-The-Oscars-20230308
126,Archived,https://web.archive.org/web/20230308182933/https://www.broadwayworld.com/article/THE-LITTLE-MERMAID-Official-Trailer-to-Premiere-During-The-Oscars-20230308
127,"""Oscars Give Warner Bros. a 100th Birthday Salute""",https://variety.com/2023/film/news/oscars-warner-bros-100-year-anniversary-video-1235551633/
128,Archived,https://web.archive.org/web/20230313073108/https://variety.com/2023/film/news/oscars-warner-bros-100-year-anniversary-video-1235551633/
129,"""Disney Paid Itself $10 Million for That Awkward 'Little Mermaid' Oscars Moment""",https://www.indiewire.com/2023/03/oscars-little-mermaid-trailer-10-million-dollars-abc-1234819286/
130,Archived,https://web.archive.org/web/20230315201344/https://www.indiewire.com/2023/03/oscars-little-mermaid-trailer-10-million-dollars-abc-1234819286/
131,"""Oscars Reject Ukrainian President Volodymyr Zelensky's Bid to Appear on Telecast (EXCLUSIVE)""",https://variety.com/2023/film/news/volodymyr-zelensky-ukraine-oscars-appearance-russia-1235547499/
132,Archived,https://web.archive.org/web/20230309135604/https://variety.com/2023/film/news/volodymyr-zelensky-ukraine-oscars-appearance-russia-1235547499/
133,"""Glenn Close Will Not Attend Tonight's Academy Awards, Cites Positive Covid-19 Test""",https://deadline.com/2023/03/glenn-close-will-not-attend-tonights-academy-awards-cites-positive-covid-19-test-as-reason-1235287002/
134,Archived,https://web.archive.org/web/20230312182419/https://deadline.com/2023/03/glenn-close-will-not-attend-tonights-academy-awards-cites-positive-covid-19-test-as-reason-1235287002/
135,"""Oscars 2023: Why the Red Carpet isn't Actually Red""",https://www.hollywoodreporter.com/lifestyle/lifestyle-news/why-oscars-2023-red-carpet-different-color-1235347177/
136,Archived,https://web.archive.org/web/20230312003802/https://www.hollywoodreporter.com/lifestyle/lifestyle-news/why-oscars-2023-red-carpet-different-color-1235347177/
137,,https://variety.com/2023/awards/awards/andrea-riseborough-oscar-nomination-campaign-to-leslie-1235500488/
138,Archived,https://web.archive.org/web/20230125002112/https://variety.com/2023/awards/awards/andrea-riseborough-oscar-nomination-campaign-to-leslie-1235500488/
139,"""Oscars: Controversy Over 'To Leslie' Campaign Heats Up But Is It All Much Ado About Nothing?""",https://deadline.com/2023/01/oscars-controversy-over-to-leslie-campaign-heats-up-but-is-it-all-much-ado-about-nothing-1235243077/
140,Archived,https://web.archive.org/web/20230202002245/https://deadline.com/2023/01/oscars-controversy-over-to-leslie-campaign-heats-up-but-is-it-all-much-ado-about-nothing-1235243077/
141,"""How Andrea Riseborough pulled off that shocking Oscar nomination""",https://www.latimes.com/entertainment-arts/awards/story/2023-01-24/oscars-nominations-2023-how-andrea-riseborough-pulled-off-that-shocking-oscar-nomination
142,Archived,https://web.archive.org/web/20230128003843/https://www.latimes.com/entertainment-arts/awards/story/2023-01-24/oscars-nominations-2023-how-andrea-riseborough-pulled-off-that-shocking-oscar-nomination
143,"""What the Hell is Going on with Andrea Riseborough's Celebrity-Backed Oscar Campaign?""",https://www.indiewire.com/2023/01/andrea-riseborough-to-leslie-oscar-campaign-explained-1234800784/
144,Archived,https://web.archive.org/web/20230119180919/https://www.indiewire.com/2023/01/andrea-riseborough-to-leslie-oscar-campaign-explained-1234800784/
145,"""Andrea Riseborough's One Week of Oscar Buzz: A Timeline""",https://www.vulture.com/2023/01/andrea-riseborough-to-leslie-oscar-buzz-timeline.html
